num,school,department,discipline_name,gsat,chi,eng,math_a,math_b,phy,che,bio,his,geo,cit,ele,same_1,same_2,same_3,rank_108,select_score_108,ori_score_108,avg_108,num_want_108,num_sel_108,low_108,high_108,people_in_108,percent_in_108,rank_107,select_score_107,ori_score_107,avg_107,num_want_107,num_sel_107,low_107,high_107,people_in_107,percent_in_107,profile
1145,中國文化大學,建築及都市設計學系,建築與設計,,2,2,,1.5,,,,,,,,英文,國文,數乙,252,299.5,163.36,54.45,19,19,162.01,165,19415,0.5472,236,232.9,127.04,42.35,32,32,126.01,129,24029,63.03,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01749.html
1146,大同大學,媒體設計學系數位遊戲設計組(社會組二),建築與設計,,,2,,,,,,2,1.5,,,英文,歷史,地理,1,295.4,161.13,53.71,9,10,159.01,162,11819,0.4828,2,274.4,182.93,60.98,7,7,180.01,183,9850,36.64,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01919.html
1147,國立嘉義大學,視覺藝術學系,建築與設計,,2,1.5,,,,,,1,1,,2,國文,英文,術科,2,401.85,267.9,53.58,32,32,264.01,268,66,0.095,3,393.78,262.52,52.5,20,20,260.01,264,93,9.5,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/10009.html
1148,實踐大學,資訊模擬與設計學系AR/VR體感科技組(高雄校區),建築與設計,,2,1,,1,,,,,,,,國文,英文,數乙,259,213,159.75,53.25,10,10,159.01,162,19960,0.5626,,,,,,,,,,,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05046.html
1149,大同大學,工業設計學系(社會二組),建築與設計,,,2,,,,,,2,1,,,英文,歷史,地理,2,262,157.2,52.4,15,15,156.01,159,12279,0.5016,3,280.2,168.12,56.04,13,13,168.01,171,11950,44.46,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01924.html
1150,義守大學,數位多媒體設計學系數位動畫設計組,建築與設計,,2,1,,,,,,2,2,,,國文,歷史,地理,65,365.2,208.69,52.17,10,10,208.01,212,14612,0.5971,65,327.05,186.89,46.72,7,7,184.01,188,17960,66.83,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04540.html
1151,大同大學,媒體設計學系互動媒體設計組(社會組二),建築與設計,,,2,,,,,,2,1.5,,,英文,歷史,地理,3,286.2,156.11,52.04,13,13,156.01,159,12279,0.5016,1,280.2,186.8,62.27,8,8,186.01,189,8834,32.86,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01920.html
1152,南華大學,建築與景觀學系自然組,建築與設計,,2,2,1.75,,,,,,,,,國文,英文,數甲,73,297.6,155.27,51.76,3,3,153.01,156,14732,0.604,69,173.4,130.05,43.35,2,2,129.01,132,16090,67.21,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05926.html
1153,南華大學,建築與景觀學系社會組,建築與設計,,2,2,,1.75,,,,,,,,國文,英文,數乙,266,296.6,154.75,51.58,2,2,153.01,156,21156,0.5963,213,181.15,135.86,45.29,2,2,135.01,138,22210,58.26,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05909.html
1154,中華大學,景觀建築學系,建築與設計,,2,,,,,,,1.75,2,,,國文,地理,歷史,23,295.05,153.94,51.31,17,17,153.01,156,17674,0.7216,200,279.2,174.5,34.9,25,25,170.01,175,22288,84.91,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04306.html
1155,國立嘉義大學,木質材料與設計學系,建築與設計,,1,1.5,1,,1.5,1.5,,,,,,數甲,物理,化學,251,330.28,254.06,50.81,21,22,250.01,255,12478,0.6058,240,282.55,217.35,43.47,31,31,215.01,220,13239,66.27,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/10026.html
1156,實踐大學,服飾設計與經營學系(高雄校區),建築與設計,,2,1,,,,,,1,,,,國文,英文,歷史,72,201.65,151.24,50.41,41,41,150.01,153,16529,0.6421,66,147.55,110.66,36.89,50,50,108.01,111,22447,79.42,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05016.html
1157,實踐大學,電腦動畫學士學位學程(高雄校區),建築與設計,,2,2,,1.75,,,,,,,,英文,國文,數乙,275,289.55,151.07,50.36,10,10,150.01,153,21775,0.6138,253,213.6,111.44,37.15,22,22,111.01,114,27062,70.99,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05029.html
1158,中國文化大學,景觀學系,建築與設計,,2,2,,1,,,,,,,,英文,國文,數乙,277,250.2,150.12,50.04,39,39,150.01,153,21775,0.6138,247,195.3,117.18,39.06,30,31,117.01,120,25838,67.78,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01715.html
1159,實踐大學,時尚設計學系(高雄校區),建築與設計,,2,1.5,,,,,,1,,,,英文,國文,歷史,75,222.3,148.2,49.4,35,36,147.01,150,17080,0.6635,65,167.53,111.69,37.23,39,39,111.01,114,21936,77.61,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05033.html
1160,國立臺東大學,美術產業學系,建築與設計,,2,1.75,,,,,,,,,2,術科,國文,英文,9,283.54,147.93,49.31,31,31,146.01,148,58,0.0705,8,278.69,145.4,48.47,16,16,144.01,146,38,3.43,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/03807.html
1161,中華大學,建築與都市計畫學系(建築設計組),建築與設計,,2,2,,1.75,,,,,,,,國文,英文,數乙,280,281.15,146.69,48.9,12,12,144.01,147,22928,0.6463,271,175.2,91.41,30.47,24,24,90.01,93,31524,82.69,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04321.html
1162,義守大學,創意商品設計學系生活創意組,建築與設計,,2,1,,,,,,2,2,,,國文,地理,歷史,89,340.1,194.34,48.59,10,11,192.01,196,16678,0.6815,91,287.4,164.23,41.06,15,15,164.01,168,20721,77.1,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04570.html
1163,義守大學,創意商品設計學系文化創意組,建築與設計,,2,1,,,,,,2,2,,,國文,歷史,地理,90,338.3,193.31,48.33,18,18,192.01,196,16678,0.6815,80,307.5,175.71,43.93,15,15,172.01,176,19635,73.06,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04542.html
1164,中國文化大學,都市計劃與開發管理學系,建築與設計,,1.5,2,,1,,,,1,1.5,,,英文,國文,數乙,161,338.3,241.64,48.33,25,25,240.01,245,14973,0.6315,181,287.9,205.64,41.13,26,26,205.01,210,18854,71.83,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01737.html
1165,大葉大學,空間設計學系(室內設計組),建築與設計,,2,1,,,,,,2,2,,,英文,國文,歷史,101,328.6,187.77,46.94,18,18,184.01,188,17626,0.7202,193,296.35,185.22,37.04,18,18,185.01,190,20975,79.91,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04242.html
1166,中華大學,工業產品設計學系(創意生活設計組),建築與設計,,2,2,,,,,,1,,2,,英文,歷史,國文,17,328.5,187.71,46.93,12,13,184.01,188,17378,0.772,18,226.2,129.26,32.31,12,12,128.01,132,20900,89.5,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04326.html
1167,義守大學,數位多媒體設計學系互動媒體設計組,建築與設計,,2,2,,,,,,2,1,,,國文,歷史,英文,103,328.5,187.71,46.93,17,17,184.01,188,17626,0.7202,102,267,152.57,38.14,12,13,152.01,156,22195,82.58,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04572.html
1168,中華大學,建築與都市計畫學系(建築科技組),建築與設計,,2,1.75,,,2,,,,,,,國文,物理,英文,7,267.06,139.34,46.45,12,12,138.01,141,15678,0.741,6,168.38,87.85,29.28,14,14,87.01,90,18145,88.46,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04310.html
1169,大葉大學,工業設計學系,建築與設計,,2,2,,1.75,,,,,,,,國文,英文,數乙,290,261.2,136.28,45.43,13,14,135.01,138,24616,0.6938,9,242.2,151.38,30.27,45,13,148.01,152,574,58.87,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04210.html
1170,中華大學,建築與都市計畫學系(都市計畫組),建築與設計,,2,2,,1.75,,,,,,,,國文,英文,數乙,291,258.65,134.95,44.98,19,19,132.01,135,25159,0.7091,280,160.55,83.77,27.92,16,16,81.01,84,33165,87,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04322.html
